id,name,description,industry
1799,Quikr,"Quikr is a free classifieds and online marketplace that helps users to sell, buy, rent, or discover anything across India. Community members can come to their site to find an apartment to live in, sell their old car, bike ,music system, laptop or furniture, promote their small business, find a tuition class or get a break as a model or actor, join a salsa class, get an audience for a local event, buy any item that they might want or have to offer and make new friends while doing all of the above. Their aim is to empower every person in the country to independently connect with buyers and sellers online. Their idea is to consistently keep adding something game-changing and worthwhile to your Quikr experience - whether it is QuikrNXT, the freedom to buy or sell without risking your privacy, or the missed call service, to give Quikr access to the masses who aren’t online today but would have internet access in the near future.",PropTech
613,CommonFloor.com,"CommonFloor is a leading real estate platform in India, dedicated to simplifying property related decisions. With the vision to ''Organize Real Estate industry through technology and data to enable fulfilling property decisions'', CommonFloor empowers people to realize their property dreams by making their search a delightful experience through design, technology, data and innovation.  From a modest beginning in 2007, with a handful of IIT graduates, a bright idea and an empty garage, CommonFloor has come a long way and now has marquee VCs, namely, Accel Partners, Tiger Global and Google Capital, as partners, along with a growing 1000+ team full of enthusiastic & passionate individuals. CommonFloor has over 5 lakh active property listings from over 200 cities and over 1 lakh residential projects listed with them. CommonFloor is dedicated to meeting all aspects of consumers’ needs around their home through property search, apartment management and vendor management. With path breaking innovations like Retina, Virtual Tours (live-in), Sky View, CommonFloor looks forward to change the way real estate space is managed in India.  CommonFloor.com is India's first real estate portal dedicated to apartments and gated communities. It is also the first to host an online community management platform that extends its role way beyond buying, selling or renting properties. Passionate about simplifying property decisions, Commonfloor.com offers home seekers, sellers and real estate professionals an extensive online real estate ecosystem. This ecosystem innovatively combines at a single stop:  · Exhaustive search options for both renting and buying property  · Easy to use analytics  · Apartment and locality reviews  · A comprehensive and verified data base of apartments across India  · Apartment community management tools Apart from a robust search mechanism Commonfloor also maintains a vast repository of research on a host of property related matters ranging from legal issues to maintenance to facility management to home insurance among many others.  With over 70 lakh monthly online visits Commonfloor.com aims at adding value to each and every property pursuit!",PropTech
2321,Home24,"Home24 SE markets, sells, and ships furniture and home furnishings. Its large furniture products comprise living and dining furniture products, including chairs, tables, and drawers, upholstery products that comprise sofas, armchairs, and ottomans, bedroom furniture products, such as beds, wardrobes, and mattresses, and other products consisting of garden, office, and bathroom products. Home24's small furniture products include lightning products, such as interior and ceiling lights, and table lamps, accessories comprising decorations, curtains, and pillows, and other products, including mirrors, shelves, and cabinets. It sells its products primarily under the Home24, Mobly, Ars Manufacti, Ars Natura, Fredriks, Jack & Alice, Masion Belfort, Mooved, Eva Padberg, and Smood brand names. Home24 serves through a network of seven showrooms in Germany and Austria, as well as online channels, such as Websites and apps. It also operates in Switzerland, France, the Netherlands, Belgium, Italy, and Brazil. Christoph Cordes, Felix Jahn, Marc Appelhoff, and Philipp Kreibohm founded Home24 in 2009. Its headquarters is in Berlin in Germany.",PropTech
3300,Loft,"Loft develops a real-estate platform intended to buy, sell, and rent residential and commercial properties in Brazil. Its property platform has a searchable database that lets users find, browse, rate, and purchase domestic and commercial properties based on feedback and reviews from registered customers, enabling property buyers and sellers to locate properties of interest and source information on the real estate space in a transparent and unambiguous manner.",PropTech
4005,Opendoor,"Opendoor makes it possible to receive an offer on a home in just a few clicks, and sell in a matter of days, removing all of the headache, uncertainty, and risk from the transaction. Opendoor is headquartered in San Francisco, CA and has received a total of $1.3BN in venture funding. Opendoor dramatically simplifies the process to help customers move on to their next chapter in life.",PropTech
397,HomeToGo,"With more than $150 million raised in funding, HomeToGo (hometogo.com) is the world's largest vacation rental search engine. It allows you to easily search and compare over 17 million accommodation offers in over 200 countries from more than 800 partners, including: Airbnb, Booking.com, VRBO, HomeAway, and TripAdvisor. With intuitive features such as flexible dates, users can find their ideal vacation rental according to their preferred destination, travel dates, budget, and amenities. HomeToGo was founded 2014 by Dr. Patrick Andrae, Wolfgang Heigl, and Nils Regge. It includes the brands Tripping.com and CASAMUNDO. The Berlin-based company currently employs more than 170 people and operates 23 local websites in Europe, America and Asia-Pacific. HomeToGo's investors include Insight Venture Partners, Lakestar, Princeville Global, DN Capital, Acton Capital Partners, Global Founders Capital, Perpetual Investors, and mojo.capital.",PropTech
2518,Avito,"Avito operates the online trading community Avito.ru. It provides advertising and marketing services. Avito offers a web based platform for free online classified advertisements in Russia. Buyers and sellers use its line of business for the exchange of products and services such as coins, collectibles, computers, memorabilia, stamps and toys, as well as concert and sporting tickets. Jonas Nordlanderr and Filip Engelbert founded Avito in 2007. Its headquarters is in Moscow in the Russian Federation.",PropTech
4694,CloudKitchens,"CloudKitchens is a real estate company that provides smart kitchens for delivery-only restaurants. They provide infrastructure and software that enables food operators to open delivery-only locations with minimal capital expenditure and time. It was founded in 2016 and is headquartered in Los Angeles, California, United States.",PropTech
1597,Handy,"Handy, formerly Handybook, was founded in 2012 by Oisin Hanrahan, Umang Dua, Ignacio Leonhardt, and Weina Scott. Handy is the quickest, most reliable way to book household service providers. Within a couple of minutes, users can book a pre-approved home cleaner or handyman for a time that is convenient for them. All users need to do is tell Handy what you need to get done, where you live, and what time works for you, and they do the rest! The Handy platform is available in the UNited States, Canada and the United Kingdom. Handy has facilitated millions of bookings, served over 500,000 customers and activated over 50,000 independent professionals. Handy is proud to connect customers with the home cleaning and installation services they need for their homes. They offer access to a wide network of professionals in a variety of fields, each with their own set of skills to help you get your living space in top shape. To book in under 60-seconds just download the Handy app or visit Handy.com. When you book with Handy.com for home cleaning or a maintenance provider to service your home, you can rest assured that your needs will be met at the highest possible level. Pros on the Handy platform are experienced, friendly and background-checked. Learn more https://www.handy.com/trust-and-safety. Convenience is just one aspect of the Handy cleaning and maintenance experience. Your happiness is their goal. If you’re not happy, we’ll work to make it right via the Handy Happiness Guarantee - https://www.handy.com/handy-guarantee. Whether it’s a comprehensive cleaning, pesky plumbing, enigmatic electrical, or any of a number of interior needs from painting to hanging shelves, their customers know there’s only one name to trust. They at Handy know how much home cleaning can get in the way of the rest of your life. You’re busy enough without having to take on the job of making your place a decent one to live in. Let Handy home cleaning and maintenance professionals be your on-call service for whatever pops up, and you’ll always know you’re in reliable hands. For jobs big and small, the solution is right at your fingertips. Just download the Handy app or visit Handy.com to get on your way to a reliable and easy solution for whatever issues your home throws at you.",PropTech
374,Ring Labs,"Ring is an outdoor home security company that provides homeowners a line of preventative outdoor security doorbells and cameras. It is on a mission to reduce crime in neighborhoods and empower consumers by creating a Ring of Security around homes and communities with its suite of smart home security products: Ring Video Doorbell, Ring Video Doorbell Pro, Ring Stick Up Cam, and the new Ring Floodlight Cam. With these security devices, Ring has created the neighborhood watch for the digital age and continues to prevent burglaries and keep homes around the world safe. Ring was established in 2012 and is based in Santa Monica, California.",PropTech
